passenger_name;city;total_amount
ALBINA KALININA;Millville;537.68
ALBINA KISELEVA;Los Angeles;1657.76
ALBINA KOLESNIKOVA;Los Angeles;1657.76
ALBINA KOROLEVA;Alamogordo;687.44
ALBINA KOROLEVA;Fargo;543.92
ALBINA KOZLOVA;Albany;6721.52
ALBINA KRASNOVA;Palm Springs;1827.28
ALBINA KUZNECOVA;Alamogordo;689.52
ALBINA KUZNECOVA;Chicago;193.44
ALBINA KUZNECOVA;Galveston;201.76
ALBINA KUZNECOVA;Venice;669.76
ALBINA KUZNECOVA;Washington;446.16
ALBINA LAZAREVA;Alamogordo;1376.96
ALBINA MAKAROVA;Los Angeles;2486.64
ALBINA MARTYNOVA;Charleston;1032.72
ALBINA MASLOVA;Atlanta;326.56
ALBINA MEDVEDEVA;Palm Springs;1005.68
ALBINA MIRONOVA;Los Angeles;1340.56
ALBINA MOROZOVA;Orlando;2159.04
ALBINA NAUMOVA;Alamogordo;689.52
ALBINA NAUMOVA;Atlanta;326.56
ALBINA NAZAROVA;Los Angeles;1657.76
ALBINA NESTEROVA;Tampa;737.36
ALBINA NIKIFOROVA;Alamogordo;689.52
ALBINA OSIPOVA;Los Angeles;1947.92
ALBINA OVCHINNIKOVA;Los Angeles;828.88
ALBINA PETROVA;Albany;2738.32
ALBINA ROMANOVA;Birmingham;1093.04
ALBINA ROMANOVA;Chicago;6660.16
ALBINA ROMANOVA;Palm Springs;6660.16
ALBINA SAVELEVA;Orlando;2127.84
ALBINA SEMENOVA;Grand Junction;466.96
ALBINA SOKOLOVA;Los Angeles;1836.64
ALBINA SOKOLOVA;Tampa;368.16
ALBINA SOROKINA;Millville;1309.36
ALBINA STEPANOVA;Alamogordo;689.52
ALBINA STEPANOVA;Charleston;2008.24
ALBINA STEPANOVA;Venice;544.96
ALBINA VASILEVA;Alamogordo;1821.04
ALBINA VLASOVA;Alamogordo;1418.56
ALBINA VLASOVA;Richmond;1418.56
ALBINA VOLKOVA;Alamogordo;344.24
ALBINA VOLKOVA;Albany;2526.16
ALBINA VOLKOVA;Grand Junction;488.80
ALBINA VOLKOVA;Richmond;243.36
ALBINA ZAKHAROVA;Palm Springs;1827.28
ALBINA ZHUKOVA;Chicago;4517.76
ALBINA ZHURAVLEVA;San Bernardino;1320.80
ALBINA ZOTOVA;Indianapolis;222.56
ALEFTINA ANISIMOVA;Galveston;741.52
ALEFTINA BORISOVA;Alamogordo;687.44
ALEFTINA BORISOVA;Chicago;2139.28
ALEFTINA DANILOVA;Chicago;385.84
ALEFTINA FILATOVA;Los Angeles;1989.52
ALEFTINA OSIPOVA;Birmingham;1590.16
ALEFTINA SIDOROVA;Albany;2524.08
ALEFTINA STEPANOVA;Fargo;1243.84
ALEKSANDR ABRAMOV;Alamogordo;344.24
ALEKSANDR ABRAMOV;Albany;426.40
ALEKSANDR ABRAMOV;Albany;1262.56
ALEKSANDR ABRAMOV;Albany;5102.24
ALEKSANDR ABRAMOV;Atlanta;326.56
ALEKSANDR ABRAMOV;Charleston;1032.72
ALEKSANDR ABRAMOV;Chicago;385.84
ALEKSANDR ABRAMOV;Chicago;772.72
ALEKSANDR ABRAMOV;Chicago;1157.52
ALEKSANDR ABRAMOV;Cincinnati;457.60
ALEKSANDR ABRAMOV;Columbus;643.76
ALEKSANDR ABRAMOV;Columbus;1480.96
ALEKSANDR ABRAMOV;Daytona Beach;481.52
ALEKSANDR ABRAMOV;Daytona Beach;695.76
ALEKSANDR ABRAMOV;Fargo;496.08
ALEKSANDR ABRAMOV;Los Angeles;2486.64
ALEKSANDR ABRAMOV;Miami;4898.40
ALEKSANDR ABRAMOV;Palm Springs;4032.08
ALEKSANDR ABRAMOV;Palm Springs;7861.36
ALEKSANDR ABRAMOV;Rochester;1372.80
ALEKSANDR AFANASEV;Alamogordo;271.44
ALEKSANDR AFANASEV;Alamogordo;687.44
ALEKSANDR AFANASEV;Alamogordo;1032.72
ALEKSANDR AFANASEV;Albany;437.84
ALEKSANDR AFANASEV;Daytona Beach;319.28
ALEKSANDR AFANASEV;Fargo;198.64
ALEKSANDR AFANASEV;Fargo;398.32
ALEKSANDR AFANASEV;Galveston;203.84
ALEKSANDR AFANASEV;Houston;359.84
ALEKSANDR AFANASEV;Idaho Falls;450.32
ALEKSANDR AFANASEV;Los Angeles;828.88
ALEKSANDR AFANASEV;Los Angeles;1119.04
ALEKSANDR AFANASEV;Los Angeles;1657.76
ALEKSANDR AFANASEV;Millville;1153.36
ALEKSANDR AFANASEV;Mojave;1979.12
ALEKSANDR AFANASEV;Orlando;4420.00
ALEKSANDR AFANASEV;Richmond;243.36
ALEKSANDR AFANASEV;Richmond;487.76
ALEKSANDR AFANASEV;Richmond;731.12
ALEKSANDR AFANASEV;San Bernardino;439.92
ALEKSANDR AFANASEV;San Bernardino;4481.36
ALEKSANDR AFANASEV;Venice;1340.56
ALEKSANDR ALEKSANDROV;Alamogordo;344.24
ALEKSANDR ALEKSANDROV;Alamogordo;741.52
ALEKSANDR ALEKSANDROV;Atlanta;343.20
ALEKSANDR ALEKSANDROV;Daytona Beach;347.36
ALEKSANDR ALEKSANDROV;Galveston;1496.56
ALEKSANDR ALEKSANDROV;Indianapolis;446.16
ALEKSANDR ALEKSANDROV;Jacksonville;1382.16
ALEKSANDR ALEKSANDROV;Los Angeles;828.88
ALEKSANDR ALEKSANDROV;Los Angeles;1008.80
ALEKSANDR ALEKSANDROV;Los Angeles;1207.44
ALEKSANDR ALEKSANDROV;Los Angeles;1760.72
ALEKSANDR ALEKSANDROV;Louisville;593.84
ALEKSANDR ALEKSANDROV;Millville;3203.20
ALEKSANDR ALEKSANDROV;Mojave;3958.24
ALEKSANDR ALEKSANDROV;Nashville;1289.60
ALEKSANDR ALEKSANDROV;Palm Springs;4103.84
ALEKSANDR ALEKSANDROV;Palm Springs;5481.84
ALEKSANDR ALEKSANDROV;Richmond;973.44
ALEKSANDR ALEKSANDROV;Rochester;686.40
ALEKSANDR ALEKSANDROV;Santa Monica;4128.80
ALEKSANDR ALEKSANDROV;Venice;1194.96
ALEKSANDR ALEKSEEV;Alamogordo;689.52
ALEKSANDR ALEKSEEV;Alamogordo;1033.76
ALEKSANDR ALEKSEEV;Alamogordo;1393.60
ALEKSANDR ALEKSEEV;Albany;5474.56
ALEKSANDR ALEKSEEV;Atlanta;326.56
ALEKSANDR ALEKSEEV;Atlanta;980.72
ALEKSANDR ALEKSEEV;Chicago;405.60
ALEKSANDR ALEKSEEV;Fargo;99.84
ALEKSANDR ALEKSEEV;Fargo;1392.56
ALEKSANDR ALEKSEEV;Fargo;1566.24
ALEKSANDR ALEKSEEV;Galveston;3895.84
ALEKSANDR ALEKSEEV;Grand Junction;466.96
ALEKSANDR ALEKSEEV;Grand Junction;932.88
ALEKSANDR ALEKSEEV;Houston;718.64
ALEKSANDR ALEKSEEV;Las Vegas;778.96
ALEKSANDR ALEKSEEV;Los Angeles;828.88
ALEKSANDR ALEKSEEV;Los Angeles;1657.76
ALEKSANDR ALEKSEEV;Los Angeles;1747.20
ALEKSANDR ALEKSEEV;Los Angeles;1840.80
ALEKSANDR ALEKSEEV;Los Angeles;1947.92
ALEKSANDR ALEKSEEV;Louisville;1188.72
ALEKSANDR ALEKSEEV;Miami;595.92
ALEKSANDR ALEKSEEV;Miami;2187.12
ALEKSANDR ALEKSEEV;Millville;548.08
ALEKSANDR ALEKSEEV;Mojave;1979.12
ALEKSANDR ALEKSEEV;Mojave;3958.24
ALEKSANDR ALEKSEEV;Mojave;6035.12
ALEKSANDR ALEKSEEV;Nashville;1289.60
ALEKSANDR ALEKSEEV;Newport;1137.76
ALEKSANDR ALEKSEEV;Newport;3895.84
ALEKSANDR ALEKSEEV;Orlando;1396.72
ALEKSANDR ALEKSEEV;Palm Springs;4032.08
ALEKSANDR ALEKSEEV;Palm Springs;6025.76
ALEKSANDR ALEKSEEV;Richmond;243.36
ALEKSANDR ALEKSEEV;Richmond;364.00
ALEKSANDR ALEKSEEV;Richmond;487.76
ALEKSANDR ALEKSEEV;Richmond;1213.68
ALEKSANDR ALEKSEEV;San Bernardino;1363.44
ALEKSANDR ALEKSEEV;Tucson;1147.12
ALEKSANDR ALEKSEEV;Tucson;1174.16
ALEKSANDR ANDREEV;Alamogordo;344.24
ALEKSANDR ANDREEV;Alamogordo;687.44
ALEKSANDR ANDREEV;Alamogordo;887.12
ALEKSANDR ANDREEV;Albany;3574.48
ALEKSANDR ANDREEV;Alice;689.52
ALEKSANDR ANDREEV;Atlanta;326.56
ALEKSANDR ANDREEV;Baton Rouge;110.24
ALEKSANDR ANDREEV;Birmingham;852.80
ALEKSANDR ANDREEV;Birmingham;3519.36
ALEKSANDR ANDREEV;Burlington;931.84
ALEKSANDR ANDREEV;Charleston;3103.36
ALEKSANDR ANDREEV;Chicago;385.84
ALEKSANDR ANDREEV;Cincinnati;915.20
ALEKSANDR ANDREEV;Daytona Beach;347.36
ALEKSANDR ANDREEV;Daytona Beach;506.48
ALEKSANDR ANDREEV;Fargo;463.84
ALEKSANDR ANDREEV;Las Vegas;388.96
ALEKSANDR ANDREEV;Las Vegas;1174.16
ALEKSANDR ANDREEV;Los Angeles;1657.76
ALEKSANDR ANDREEV;Los Angeles;2125.76
ALEKSANDR ANDREEV;Louisville;690.56
ALEKSANDR ANDREEV;Louisville;1188.72
ALEKSANDR ANDREEV;Millville;302.64
ALEKSANDR ANDREEV;Mojave;3958.24
ALEKSANDR ANDREEV;New York;208.00
ALEKSANDR ANDREEV;New York;218.40
ALEKSANDR ANDREEV;Richmond;232.96
ALEKSANDR ANDREEV;Richmond;243.36
ALEKSANDR ANDREEV;Rochester;686.40
ALEKSANDR ANDREEV;San Bernardino;461.76
ALEKSANDR ANDREEV;San Diego;127.92
ALEKSANDR ANDREEV;Stratford;859.04
ALEKSANDR ANDREEV;Tucson;385.84
ALEKSANDR ANDREEV;Tucson;1160.64
ALEKSANDR ANTONOV;Alamogordo;344.24
ALEKSANDR ANTONOV;Albany;853.84
ALEKSANDR ANTONOV;Albany;2526.16
ALEKSANDR ANTONOV;Charleston;1004.64
ALEKSANDR ANTONOV;Cincinnati;457.60
ALEKSANDR ANTONOV;Daytona Beach;160.16
ALEKSANDR ANTONOV;Fargo;208.00
ALEKSANDR ANTONOV;Fargo;298.48
ALEKSANDR ANTONOV;Galveston;304.72
ALEKSANDR ANTONOV;Galveston;1068.08
ALEKSANDR ANTONOV;Grand Junction;932.88
ALEKSANDR ANTONOV;Houston;718.64
ALEKSANDR ANTONOV;Little Rock;412.88
ALEKSANDR ANTONOV;Los Angeles;414.96
ALEKSANDR ANTONOV;Los Angeles;1054.56
ALEKSANDR ANTONOV;Los Angeles;1657.76
ALEKSANDR ANTONOV;Los Angeles;1947.92
ALEKSANDR ANTONOV;Louisville;690.56
ALEKSANDR ANTONOV;Louisville;2274.48
ALEKSANDR ANTONOV;Millville;1075.36
ALEKSANDR ANTONOV;Newport;1459.12
ALEKSANDR ANTONOV;Orlando;2159.04
ALEKSANDR ANTONOV;Palm Springs;2011.36
ALEKSANDR ANTONOV;Palm Springs;3654.56
ALEKSANDR ANTONOV;Palm Springs;4190.16
ALEKSANDR ANTONOV;Palm Springs;6195.28
ALEKSANDR ANTONOV;Roswell;1209.52
ALEKSANDR ANTONOV;Tucson;385.84
ALEKSANDR ANTONOV;Tucson;973.44
ALEKSANDR ANTONOV;Venice;822.64
ALEKSANDR BARANOV;Albany;214.24
ALEKSANDR BARANOV;Fargo;720.72
ALEKSANDR BARANOV;Galveston;201.76
ALEKSANDR BARANOV;Galveston;1348.88
ALEKSANDR BARANOV;Los Angeles;2863.12
ALEKSANDR BARANOV;Miami;1134.64
ALEKSANDR BARANOV;Millville;1379.04
ALEKSANDR BARANOV;Nashville;4171.44
ALEKSANDR BARANOV;Newport;1348.88
ALEKSANDR BARANOV;Palm Springs;3654.56
ALEKSANDR BARANOV;Palm Springs;3747.12
ALEKSANDR BARANOV;Palm Springs;4023.76
ALEKSANDR BARANOV;Richmond;729.04
ALEKSANDR BARANOV;Rochester;686.40
ALEKSANDR BARANOV;San Bernardino;2378.48
ALEKSANDR BARANOV;Tucson;772.72
ALEKSANDR BARANOV;Venice;136.24
ALEKSANDR BELOV;Alamogordo;687.44
ALEKSANDR BELOV;Alamogordo;689.52
ALEKSANDR BELOV;Albany;2738.32
ALEKSANDR BELOV;Atlanta;654.16
ALEKSANDR BELOV;Atlanta;686.40
ALEKSANDR BELOV;Charleston;1004.64
ALEKSANDR BELOV;Chicago;772.72
ALEKSANDR BELOV;Columbus;2998.32
ALEKSANDR BELOV;Daytona Beach;354.64
ALEKSANDR BELOV;Daytona Beach;541.84
ALEKSANDR BELOV;Fargo;537.68
ALEKSANDR BELOV;Los Angeles;1119.04
ALEKSANDR BELOV;Los Angeles;1657.76
ALEKSANDR BELOV;Los Angeles;2486.64
ALEKSANDR BELOV;Miami;776.88
ALEKSANDR BELOV;Millville;848.64
ALEKSANDR BELOV;Millville;1847.04
ALEKSANDR BELOV;Orlando;1592.24
ALEKSANDR BELOV;Orlando;2093.52
ALEKSANDR BELOV;Orlando;2923.44
ALEKSANDR BELOV;Palm Springs;7310.16
ALEKSANDR BELOV;Palm Springs;10964.72
ALEKSANDR BELOV;Richmond;243.36
ALEKSANDR BELOV;Richmond;729.04
ALEKSANDR BELOV;San Diego;121.68
ALEKSANDR BELOV;Santa Monica;4027.92
ALEKSANDR BELOV;Tampa;737.36
ALEKSANDR BELOV;Tucson;607.36
ALEKSANDR BELOV;Tucson;959.92
ALEKSANDR BELOV;Washington;243.36
ALEKSANDR BONDARENKO;Albany;214.24
ALEKSANDR BONDARENKO;Atlanta;654.16
ALEKSANDR BONDARENKO;Atlantic City;249.60
ALEKSANDR BONDARENKO;Birmingham;1093.04
ALEKSANDR BONDARENKO;Burlington;888.16
ALEKSANDR BONDARENKO;Charleston;1025.44
ALEKSANDR BONDARENKO;Chicago;1948.96
ALEKSANDR BONDARENKO;Fargo;198.64
ALEKSANDR BONDARENKO;Fargo;523.12
ALEKSANDR BONDARENKO;Little Rock;825.76
ALEKSANDR BONDARENKO;Los Angeles;1913.60
ALEKSANDR BONDARENKO;Los Angeles;2754.96
ALEKSANDR BONDARENKO;Los Angeles;4145.44
ALEKSANDR BONDARENKO;Louisville;617.76
ALEKSANDR BONDARENKO;Miami;766.48
ALEKSANDR BONDARENKO;Nashville;2790.32
ALEKSANDR BONDARENKO;Orlando;697.84
ALEKSANDR BONDARENKO;Rochester;1372.80
ALEKSANDR BONDARENKO;Stratford;2619.76
ALEKSANDR BORISOV;Alamogordo;689.52
ALEKSANDR BORISOV;Albany;2536.56
ALEKSANDR BORISOV;Atlanta;326.56
ALEKSANDR BORISOV;Atlanta;654.16
ALEKSANDR BORISOV;Atlantic City;124.80
ALEKSANDR BORISOV;Birmingham;1293.76
ALEKSANDR BORISOV;Birmingham;3692.00
ALEKSANDR BORISOV;Chicago;811.20
ALEKSANDR BORISOV;Columbus;998.40
ALEKSANDR BORISOV;Daytona Beach;173.68
ALEKSANDR BORISOV;Fargo;297.44
ALEKSANDR BORISOV;Fargo;463.84
ALEKSANDR BORISOV;Galveston;1459.12
ALEKSANDR BORISOV;Hillsboro;433.68
ALEKSANDR BORISOV;Idaho Falls;900.64
ALEKSANDR BORISOV;Los Angeles;918.32
ALEKSANDR BORISOV;Los Angeles;1119.04
ALEKSANDR BORISOV;Los Angeles;1947.92
ALEKSANDR BORISOV;Louisville;617.76
ALEKSANDR BORISOV;Miami;567.84
ALEKSANDR BORISOV;Newport;1459.12
ALEKSANDR BORISOV;Orlando;1462.24
ALEKSANDR BORISOV;Palm Springs;3654.56
ALEKSANDR BORISOV;Palm Springs;4205.76
ALEKSANDR BORISOV;Palm Springs;6226.48
ALEKSANDR BORISOV;Roswell;1001.52
ALEKSANDR BORISOV;San Bernardino;1320.80
ALEKSANDR BORISOV;Stratford;859.04
ALEKSANDR BORISOV;Tucson;1558.96
ALEKSANDR BORISOV;Tucumcari;1729.52
ALEKSANDR CHERNOV;Alamogordo;344.24
ALEKSANDR CHERNOV;Albany;640.64
ALEKSANDR CHERNOV;Birmingham;1293.76
ALEKSANDR CHERNOV;Daytona Beach;704.08
ALEKSANDR CHERNOV;Fargo;463.84
ALEKSANDR CHERNOV;Galveston;3843.84
ALEKSANDR CHERNOV;Las Vegas;846.56
ALEKSANDR CHERNOV;Los Angeles;828.88
ALEKSANDR CHERNOV;Louisville;690.56
ALEKSANDR CHERNOV;Louisville;1683.76
ALEKSANDR CHERNOV;Millville;302.64
ALEKSANDR CHERNOV;Newport;3843.84
ALEKSANDR CHERNOV;Palm Springs;914.16
ALEKSANDR CHERNOV;Palm Springs;3747.12
ALEKSANDR CHERNOV;Rochester;686.40
ALEKSANDR CHERNOV;Rochester;1372.80
ALEKSANDR CHERNOV;San Bernardino;1320.80
ALEKSANDR CHERNOV;Tucumcari;2637.44
ALEKSANDR DAVYDOV;Alamogordo;689.52
ALEKSANDR DAVYDOV;Alamogordo;1032.72
ALEKSANDR DAVYDOV;Albany;1272.96
ALEKSANDR DAVYDOV;Albany;3703.44
ALEKSANDR DAVYDOV;Alice;1016.08
ALEKSANDR DAVYDOV;Atlanta;654.16
ALEKSANDR DAVYDOV;Atlanta;980.72
ALEKSANDR DAVYDOV;Chicago;7024.16
ALEKSANDR DAVYDOV;Fargo;537.68
ALEKSANDR DAVYDOV;Grand Junction;466.96
ALEKSANDR DAVYDOV;Los Angeles;1657.76
ALEKSANDR DAVYDOV;Louisville;593.84
ALEKSANDR DAVYDOV;Louisville;1188.72
ALEKSANDR DAVYDOV;Newport;2276.56
ALEKSANDR DAVYDOV;Orlando;2193.36
ALEKSANDR DAVYDOV;Palm Springs;3654.56
ALEKSANDR DAVYDOV;Palm Springs;4011.28
ALEKSANDR DAVYDOV;Palm Springs;7024.16
ALEKSANDR DAVYDOV;San Bernardino;219.44
ALEKSANDR DAVYDOV;Venice;796.64
ALEKSANDR DENISOV;Alamogordo;271.44
ALEKSANDR DENISOV;Albany;1702.48
ALEKSANDR DENISOV;Albany;2526.16
ALEKSANDR DENISOV;Albany;6363.76
ALEKSANDR DENISOV;Alice;689.52
ALEKSANDR DENISOV;Atlantic City;255.84
ALEKSANDR DENISOV;Birmingham;2215.20
ALEKSANDR DENISOV;Birmingham;2557.36
ALEKSANDR DENISOV;Daytona Beach;321.36
ALEKSANDR DENISOV;Daytona Beach;704.08
ALEKSANDR DENISOV;Fargo;198.64
ALEKSANDR DENISOV;Fargo;595.92
ALEKSANDR DENISOV;Fargo;845.52
ALEKSANDR DENISOV;Galveston;100.88
ALEKSANDR DENISOV;Idaho Falls;600.08
ALEKSANDR DENISOV;Las Vegas;388.96
ALEKSANDR DENISOV;Las Vegas;784.16
ALEKSANDR DENISOV;Little Rock;825.76
ALEKSANDR DENISOV;Los Angeles;1160.64
ALEKSANDR DENISOV;Los Angeles;1657.76
ALEKSANDR DENISOV;Louisville;1782.56
ALEKSANDR DENISOV;Miami;3266.64
ALEKSANDR DENISOV;Millville;3505.84
ALEKSANDR DENISOV;New York;208.00
ALEKSANDR DENISOV;Orlando;5119.92
ALEKSANDR DENISOV;Rochester;1372.80
ALEKSANDR DENISOV;Tucumcari;1729.52
ALEKSANDR DMITRIEV;Alamogordo;344.24
ALEKSANDR DMITRIEV;Alamogordo;689.52
ALEKSANDR DMITRIEV;Alamogordo;1032.72
ALEKSANDR DMITRIEV;Alamogordo;2575.04
ALEKSANDR DMITRIEV;Albany;1262.56
ALEKSANDR DMITRIEV;Atlanta;326.56
ALEKSANDR DMITRIEV;Chicago;385.84
ALEKSANDR DMITRIEV;Chicago;772.72
ALEKSANDR DMITRIEV;Chicago;1157.52
ALEKSANDR DMITRIEV;Chicago;2575.04
ALEKSANDR DMITRIEV;Daytona Beach;853.84
ALEKSANDR DMITRIEV;Fargo;99.84
ALEKSANDR DMITRIEV;Fargo;1060.80
ALEKSANDR DMITRIEV;Little Rock;845.52
ALEKSANDR DMITRIEV;Los Angeles;1657.76
ALEKSANDR DMITRIEV;Los Angeles;2434.64
ALEKSANDR DMITRIEV;Los Angeles;2846.48
ALEKSANDR DMITRIEV;Los Angeles;2954.64
ALEKSANDR DMITRIEV;Louisville;593.84
ALEKSANDR DMITRIEV;Louisville;695.76
ALEKSANDR DMITRIEV;Louisville;1706.64
ALEKSANDR DMITRIEV;Palm Springs;5481.84
ALEKSANDR DMITRIEV;Richmond;243.36
ALEKSANDR DMITRIEV;Richmond;487.76
ALEKSANDR DMITRIEV;Richmond;973.44
ALEKSANDR DMITRIEV;Richmond;2434.64
ALEKSANDR DMITRIEV;San Diego;243.36
ALEKSANDR DMITRIEV;Tampa;368.16
ALEKSANDR DMITRIEV;Venice;803.92
ALEKSANDR EGOROV;Alamogordo;344.24
ALEKSANDR EGOROV;Alamogordo;588.64
ALEKSANDR EGOROV;Alamogordo;1032.72
ALEKSANDR EGOROV;Albany;214.24
ALEKSANDR EGOROV;Albany;3678.48
ALEKSANDR EGOROV;Albany;4623.84
ALEKSANDR EGOROV;Atlanta;654.16
ALEKSANDR EGOROV;Charleston;1004.64
ALEKSANDR EGOROV;Charleston;2037.36
ALEKSANDR EGOROV;Charleston;4045.60
ALEKSANDR EGOROV;Chicago;6503.12
ALEKSANDR EGOROV;Columbus;998.40
ALEKSANDR EGOROV;Columbus;1907.36
ALEKSANDR EGOROV;Columbus;3480.88
ALEKSANDR EGOROV;Daytona Beach;347.36
ALEKSANDR EGOROV;Fargo;99.84
ALEKSANDR EGOROV;Fargo;463.84
ALEKSANDR EGOROV;Fargo;523.12
ALEKSANDR EGOROV;Fargo;1383.20
ALEKSANDR EGOROV;Galveston;107.12
ALEKSANDR EGOROV;Grand Junction;466.96
ALEKSANDR EGOROV;Hillsboro;433.68
ALEKSANDR EGOROV;Houston;718.64
ALEKSANDR EGOROV;Idaho Falls;630.24
ALEKSANDR EGOROV;Los Angeles;828.88
ALEKSANDR EGOROV;Los Angeles;1292.72
ALEKSANDR EGOROV;Los Angeles;1657.76
ALEKSANDR EGOROV;Los Angeles;1947.92
ALEKSANDR EGOROV;Los Angeles;2307.76
ALEKSANDR EGOROV;Los Angeles;3720.08
ALEKSANDR EGOROV;Louisville;1088.88
ALEKSANDR EGOROV;Louisville;1185.60
ALEKSANDR EGOROV;Millville;786.24
ALEKSANDR EGOROV;Mojave;1979.12
ALEKSANDR EGOROV;Palm Springs;1827.28
ALEKSANDR EGOROV;Richmond;487.76
ALEKSANDR EGOROV;San Bernardino;3422.64
ALEKSANDR EGOROV;Santa Monica;4028.96
ALEKSANDR EGOROV;Tampa;1105.52
ALEKSANDR EGOROV;Tucson;385.84
ALEKSANDR EGOROV;Washington;446.16
ALEKSANDR FEDOROV;Alamogordo;687.44
ALEKSANDR FEDOROV;Alamogordo;1033.76
ALEKSANDR FEDOROV;Atlanta;997.36
ALEKSANDR FEDOROV;Charleston;1004.64
ALEKSANDR FEDOROV;Chicago;770.64
ALEKSANDR FEDOROV;Fargo;523.12
ALEKSANDR FEDOROV;Fargo;1392.56
ALEKSANDR FEDOROV;Galveston;100.88
ALEKSANDR FEDOROV;Galveston;1561.04
ALEKSANDR FEDOROV;Grand Junction;466.96
ALEKSANDR FEDOROV;Idaho Falls;614.64
ALEKSANDR FEDOROV;Las Vegas;395.20
ALEKSANDR FEDOROV;Los Angeles;828.88
ALEKSANDR FEDOROV;Los Angeles;1008.80
ALEKSANDR FEDOROV;Los Angeles;1099.28
ALEKSANDR FEDOROV;Los Angeles;1286.48
ALEKSANDR FEDOROV;Louisville;593.84
ALEKSANDR FEDOROV;Millville;552.24
ALEKSANDR FEDOROV;Millville;606.32
ALEKSANDR FEDOROV;Mojave;1979.12
ALEKSANDR FEDOROV;Newport;1561.04
ALEKSANDR FEDOROV;Orlando;1657.76
ALEKSANDR FEDOROV;Palm Springs;1827.28
ALEKSANDR FEDOROV;Palm Springs;3654.56
ALEKSANDR FEDOROV;Richmond;971.36
ALEKSANDR FEDOROV;Rochester;686.40
ALEKSANDR FEDOROV;San Bernardino;439.92
ALEKSANDR FEDOROV;San Diego;121.68
ALEKSANDR FEDOROV;Stratford;859.04
ALEKSANDR FEDOROV;Stratford;1717.04
ALEKSANDR FEDOROV;Tampa;385.84
ALEKSANDR FEDOROV;Tampa;737.36
ALEKSANDR FEDOROV;Tucson;596.96
ALEKSANDR FEDOTOV;Alamogordo;344.24
ALEKSANDR FEDOTOV;Albany;1687.92
ALEKSANDR FEDOTOV;Atlanta;1307.28
ALEKSANDR FEDOTOV;Birmingham;852.80
ALEKSANDR FEDOTOV;Charleston;2008.24
ALEKSANDR FEDOTOV;Daytona Beach;347.36
ALEKSANDR FEDOTOV;Fargo;198.64
ALEKSANDR FEDOTOV;Los Angeles;828.88
ALEKSANDR FEDOTOV;Los Angeles;1989.52
ALEKSANDR FEDOTOV;Louisville;695.76
ALEKSANDR FEDOTOV;Palm Springs;1827.28
ALEKSANDR FEDOTOV;Palm Springs;5481.84
